,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
119,20160151,1,2016-11-18,2016,11,18,20:35:00,Noche,SD,CALLE,SD,cruce_de_calles,0,.,.,PEATON-SD,PEATON,SD,20,Friday,Dia_de_Semana
120,20160152,1,2016-11-23,2016,11,23,21:10:00,Noche,AV PERITO MORENO Y ZUVIRIA,AVENIDA,"MORENO, PERITO AV.",cruce_de_calles,7,-58.46451841,-34.64991946,MOTO-AUTO,MOTO,AUTO,21,Wednesday,Dia_de_Semana
121,20160153,1,2016-11-25,2016,11,25,15:42:00,Tarde,ARAOZ Y AV CORDOBA,AVENIDA,ARAOZ,cruce_de_calles,15,-58.42917090,-34.59485488,PEATON-MOTO,PEATON,MOTO,15,Friday,Dia_de_Semana
122,20160154,1,2016-11-26,2016,11,26,14:14:00,Tarde,AV GRAL PAZ 15200,AVENIDA,"PAZ, GRAL. AV.",15200.0,8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,MOTO,14,Saturday,Fin_de_Semana
123,20160155,1,2016-11-26,2016,11,26,16:50:00,Tarde,MADERO 900,CALLE,MADERO,900.0,10,-58.52756365,-34.62772274,PEATON-AUTO,PEATON,AUTO,16,Saturday,Fin_de_Semana
124,20160156,1,2016-11-26,2016,11,26,19:40:00,Tarde,AV INDEPENDENCIA Y DEAN FUNES,AVENIDA,INDEPENDENCIA AV.,cruce_de_calles,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,MOTO,PASAJEROS,19,Saturday,Fin_de_Semana
125,20160157,1,2016-12-03,2016,12,3,06:40:00,Madrugada,AV JUAN B JUSTO 5645,AVENIDA,"JUSTO, JUAN B. AV.",5645.0,11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,MOTO,6,Saturday,Fin_de_Semana
126,20160159,1,2016-12-04,2016,12,4,07:21:00,Mañana,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,cruce_de_calles,8,-58.44451316,-34.68475866,AUTO-SD,AUTO,SD,7,Sunday,Fin_de_Semana
127,20160160,1,2016-12-06,2016,12,6,05:30:00,Madrugada,AUTOPISTA PERITO MORENO ALTURA VELZ,AUTOPISTA,AUTOPISTA PERITO MORENO,cruce_de_calles,9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO,5,Tuesday,Dia_de_Semana
128,20160161,1,2016-12-06,2016,12,6,07:22:00,Mañana,AV SANTA FE Y GODOY CRUZ,AVENIDA,SANTA FE AV.,cruce_de_calles,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PEATON,PASAJEROS,7,Tuesday,Dia_de_Semana
129,20160162,1,2016-12-07,2016,12,7,05:00:00,Madrugada,AV FEDERICO LACROZE Y AV FOREST,AVENIDA,"LACROZE, FEDERICO AV.",cruce_de_calles,15,-58.45396573,-34.58518167,PEATON-AUTO,PEATON,AUTO,5,Wednesday,Dia_de_Semana
130,20160163,1,2016-12-10,2016,12,10,07:30:00,Mañana,AV GRAL PAZ Y AV GENERAL MOSCONI,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,11,-58.52340614,-34.59798754,MOTO-AUTO,MOTO,AUTO,7,Saturday,Fin_de_Semana
131,20160164,1,2016-12-11,2016,12,11,06:16:00,Madrugada,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,LA PLATA AV.,cruce_de_calles,4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,AUTO,6,Sunday,Fin_de_Semana
132,20160165,1,2016-12-12,2016,12,12,08:25:00,Mañana,AV MARTIN GARCIA 300,AVENIDA,"GARCIA, MARTIN AV.",300.0,4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,8,Monday,Dia_de_Semana
133,20160168,1,2016-12-13,2016,12,13,10:40:00,Mañana,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,LA PLATA AV.,cruce_de_calles,4,-58.42323628,-34.64119105,MOTO-AUTO,MOTO,AUTO,10,Tuesday,Dia_de_Semana
